chr	trf2_DES	random_DES
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	19.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	26.0	0.0
chrY	0.0	21.0
chrY	80.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	160.0	0.0
chrY	37.0	0.0
chrY	0.0	0.0
chrY	8.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	1.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	4.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	6.0	0.0
chrY	295.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	98.0	0.0
chrY	168.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	559.0	0.0
chrY	43.0	0.0
chrY	109.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	2.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	422.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	25.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	48.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	126.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	3209.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	40.0
chrY	4.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	0.0
chrY	0.0	11.0
chrY	0.0	0.0
chrX	0.0	0.0
chrX	0.0	41.0
chrX	0.0	175.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	23.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	62.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	13.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	160.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	12.0	0.0
chrX	152.0	0.0
chrX	1377.0	13.0
chrX	8.0	0.0
chrX	0.0	0.0
chrX	14.0	0.0
chrX	0.0	0.0
chrX	13.0	793.0
chrX	161.0	1057.0
chrX	1390.0	0.0
chrX	0.0	0.0
chrX	611.0	64.0
chrX	0.0	0.0
chrX	0.0	12.0
chrX	0.0	101.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	11.0	76.0
chrX	0.0	0.0
chrX	0.0	71.0
chrX	0.0	1307.0
chrX	0.0	10.0
chrX	0.0	9.0
chrX	0.0	12.0
chrX	0.0	0.0
chrX	16.0	6308.0
chrX	0.0	57.0
chrX	0.0	44.0
chrX	0.0	17.0
chrX	46.0	14.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	15.0	0.0
chrX	20.0	0.0
chrX	12.0	134.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	23.0	0.0
chrX	62.0	0.0
chrX	0.0	14.0
chrX	117.0	0.0
chrX	0.0	9.0
chrX	0.0	0.0
chrX	0.0	25.0
chrX	11.0	0.0
chrX	114.0	0.0
chrX	0.0	0.0
chrX	0.0	27.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	5.0	0.0
chrX	0.0	0.0
chrX	0.0	12.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	938.0	0.0
chrX	0.0	0.0
chrX	0.0	26.0
chrX	80.0	42.0
chrX	66.0	0.0
chrX	79.0	15.0
chrX	82.0	0.0
chrX	75.0	67.0
chrX	41.0	11.0
chrX	2219.0	0.0
chrX	11.0	0.0
chrX	1759.0	0.0
chrX	45.0	315.0
chrX	0.0	0.0
chrX	0.0	0.0
chrX	11.0	42.0
chrX	51.0	48.0
chrX	192.0	0.0
chrX	0.0	45.0
chrX	0.0	13.0
chrX	0.0	0.0
chrX	138.0	2465.0
