"chr","start.q","end.q","width.q","start.s","end.s","width.s"
"chr1",9976,10335,360,9771,11187,1417
"chr1",91852726,91852755,30,91852582,91853408,827
"chr15",78360751,78360871,121,78360055,78360989,935
"chr16",33963631,33964091,461,33962496,33964309,1814
"chr2",133012932,133013291,360,133011909,133013971,2063
"chr2",182140551,182140591,41,182140289,182140813,525
"chr20",62918584,62918780,197,62917753,62919570,1818
"chr21",9827231,9827731,501,9825212,9828240,3029
"chr21",44887751,44887791,41,44887361,44888408,1048
"chr3",197900771,197900891,121,197899295,197901966,2672
"chr5",180021773,180021931,159,180021560,180022566,1007
"chr6",6916511,6916911,401,6916398,6916934,537
"chr7",10015,10151,137,9773,10947,1175
"chr8",70602322,70602510,189,70601857,70602823,967
