chr	p-value
chrY	0.03285599534187977
chrX	0.0009550612593612775
chr13	0.008679357759727361
chr12	1.0486739456544134e-08
chr11	0.0022874631527432746
chr10	0.004568157411939298
chr17	2.0133331224383907e-07
chr16	0.014043848922503693
chr15	0.014263804519697831
chr14	0.004562700630872496
chr19	0.008151122339528652
chr18	0.09168050436375114
chr22	0.2778621700195604
chr20	0.0009663137661144296
chr21	0.0029171881545043913
chr7	0.0001992233284857157
chr6	3.8062115685087435e-08
chr5	2.0886047197798458e-05
chr4	0.003697639212093396
chr3	1.8934886895901706e-05
chr2	3.5284293184878204e-07
chr1	1.2433494540038791e-09
chr9	7.912071597452502e-12
chr8	0.003015561537943273
